category_id,language_code,name,description
1,en,Fiction,"General fiction and literary works"
1,uk,Художня література,"Загальна художня та літературні твори"
2,en,Science Fiction,"Futuristic and speculative fiction"
2,uk,Наукова фантастика,"Футуристична та спекулятивна фантастика"
3,en,Mystery,"Detective and mystery novels"
3,uk,Детектив,"Детективні романи"
4,en,Romance,"Love stories and romantic fiction"
4,uk,Романтика,"Любовні історії та романтична проза"
5,en,Historical Fiction,"Stories set in historical periods"
5,uk,Історична проза,"Романи, дія яких відбувається в історичні періоди"
6,en,Biography,"Life stories and memoirs"
6,uk,Біографія,"Історії життя та мемуари"
7,en,Science,"Scientific and educational books"
7,uk,Наука,"Наукові та освітні книги"
8,en,Technology,"Technology and computing books"
8,uk,Технології,"Книги про технології та комп'ютери"
9,en,Fantasy,"Magical and fantasy worlds"
9,uk,Фентезі,"Магічні та фантастичні світи"
10,en,Thriller,"Suspense and thriller novels"
10,uk,Трилер,"Романи жахів та трилери"
