book_id,language_code,title,book_language,description
1,en,The Shining,English,"A horror novel about a haunted hotel"
1,uk,Сяйво,Англійська,"Роман жахів про готель з привидами"
2,en,Harry Potter and the Sorcerer's Stone,English,"First book in the Harry Potter series"
2,uk,Гаррі Поттер і філософський камінь,Англійська,"Перша книга серії про Гаррі Поттера"
3,en,1984,English,"Dystopian social science fiction"
3,uk,1984,Англійська,"Антиутопічна соціальна фантастика"
4,en,Pride and Prejudice,English,"Romantic novel of manners"
4,uk,Гордість та упередження,Англійська,"Романтичний роман про етикет"
5,en,The Old Man and the Sea,English,"Story of an aging fisherman"
5,uk,Старий і море,Англійська,"Історія про старого рибалку"
6,en,Murder on the Orient Express,English,"Detective Hercule Poirot solves a murder"
6,uk,"Вбивство в ""Орієнті""","Англійська","Детектив Еркюль Пуаро розкриває вбивство"
7,en,Foundation,English,"Science fiction novel about galactic empire"
7,uk,Фундація,Англійська,"Науково-фантастичний роман про галактичну імперію"
8,en,The Great Gatsby,English,"Jazz Age novel about wealth and society"
8,uk,Великий Гетсбі,Англійська,"Роман епохи джазу про багатство та суспільство"
9,en,To Kill a Mockingbird,English,"Novel about racial injustice"
9,uk,Вбити пересмішника,Англійська,"Роман про расову несправедливість"
10,en,The Lord of the Rings,English,"Epic high fantasy novel"
10,uk,Володар перснів,Англійська,"Епічна висока фантазія"
11,en,Great Expectations,English,"Coming of age novel"
11,uk,Великі сподівання,Англійська,"Роман про дорослішання"
12,en,Adventures of Huckleberry Finn,English,"Novel about a boy on Mississippi River"
12,uk,Пригоди Гекльберрі Фіна,Англійська,"Роман про хлопця на річці Міссісіпі"
13,en,Mrs Dalloway,English,"Modernist novel about one day in London"
13,uk,Місіс Далловей,Англійська,"Модерністський роман про один день у Лондоні"
14,en,One Hundred Years of Solitude,Spanish,"Multi-generational family saga"
14,uk,Сто років самотності,Іспанська,"Багатопоколіннєва родинна сага"
15,en,War and Peace,Russian,"Epic novel about Napoleonic wars"
15,uk,Війна і мир,Російська,"Епічний роман про наполеонівські війни"
16,en,The Da Vinci Code,English,"Mystery thriller about religious conspiracy"
16,uk,Код да Вінчі,Англійська,"Таємничий трилер про релігійну змову"
17,en,The Hound of the Baskervilles,English,"Sherlock Holmes mystery"
17,uk,Собака Баскервілів,Англійська,"Таємниця Шерлока Холмса"
18,en,Wuthering Heights,English,"Gothic romance novel"
18,uk,Бурятові висоти,Англійська,"Готичний романтичний роман"
19,en,The War of the Worlds,English,"Alien invasion science fiction"
19,uk,Війна світів,Англійська,"Наукова фантастика про вторгнення інопланетян"
20,en,Emma,English,"Novel about youthful hubris and romantic misunderstandings"
20,uk,Емма,Англійська,"Роман про молоде марнославство та романтичні непорозуміння"
21,en,It,English,"Horror novel about a shapeshifting entity"
21,uk,Воно,Англійська,"Роман жахів про істоту, що змінює форму"
22,en,Harry Potter and the Chamber of Secrets,English,"Second book in Harry Potter series"
22,uk,Гаррі Поттер і таємна кімната,Англійська,"Друга книга серії про Гаррі Поттера"
23,en,Animal Farm,English,"Satirical allegory about Soviet communism"
23,uk,Ферма тварин,Англійська,"Сатирична алегорія про радянський комунізм"
24,en,Sense and Sensibility,English,"Novel about two sisters and their romantic lives"
24,uk,Розум і почуття,Англійська,"Роман про двох сестер та їхнє романтичне життя"
25,en,For Whom the Bell Tolls,English,"Novel about Spanish Civil War"
25,uk,По ком звонить дзвін,Англійська,"Роман про громадянську війну в Іспанії"
26,en,Death on the Nile,English,"Hercule Poirot investigates murder on cruise"
26,uk,Смерть на Нілі,Англійська,"Еркюль Пуаро розслідує вбивство на круїзному лайнері"
27,en,I Robot,English,"Collection of robot stories"
27,uk,"Я, робот",Англійська,"Збірка оповідань про роботів"
28,en,Tender Is the Night,English,"Novel about rise and fall of a glamorous couple"
28,uk,Ніжна ніч,Англійська,"Роман про зліт і падіння гламурної пари"
29,en,Go Set a Watchman,English,"Sequel to To Kill a Mockingbird"
29,uk,Піди постав вартового,Англійська,"Продовження 'Вбити пересмішника'"
30,en,The Hobbit,English,"Children fantasy novel"
30,uk,Гобіт,Англійська,"Дитячий фантастичний роман"
31,en,A Tale of Two Cities,English,"Historical novel set in London and Paris"
31,uk,Повість про два міста,Англійська,"Історичний роман, дія якого відбувається в Лондоні та Парижі"
32,en,The Adventures of Tom Sawyer,English,"Novel about a boy growing up along Mississippi"
32,uk,Пригоди Тома Сойєра,Англійська,"Роман про хлопця, що зростає на берегах Міссісіпі"
33,en,To the Lighthouse,English,"Modernist novel about Ramsay family"
33,uk,До маяка,Англійська,"Модерністський роман про родину Реймі"
34,en,Love in the Time of Cholera,Spanish,"Novel about love triangle lasting decades"
34,uk,Коханка часу холери,Іспанська,"Роман про любовний трикутник, що триває десятиліття"
35,en,Anna Karenina,Russian,"Tragic novel about aristocratic adultery"
35,uk,Анна Кареніна,Російська,"Трагічний роман про аристократичну подружню зраду"
36,en,Angels and Demons,English,"Thriller about secret society and Vatican"
36,uk,Ангели і демони,Англійська,"Трилер про таємне товариство та Ватикан"
37,en,The Sign of Four,English,"Second Sherlock Holmes novel"
37,uk,Знак чотирьох,Англійська,"Другий роман про Шерлока Холмса"
38,en,Agnes Grey,English,"Novel about a governess"
38,uk,Егнес Грей,Англійська,"Роман про гувернантку"
39,en,The Time Machine,English,"Time travel science fiction"
39,uk,Машина часу,Англійська,"Науково-фантастична подорож у часі"
40,en,The Stand,English,"Post-apocalyptic horror fantasy"
40,uk,Кінець світу,Англійська,"Постапокаліптичне фентезі жахів"
41,en,Harry Potter and the Prisoner of Azkaban,English,"Third book in Harry Potter series"
41,uk,Гаррі Поттер і в'язень Азкабану,Англійська,"Третя книга серії про Гаррі Поттера"
42,en,Coming Up for Air,English,"Novel about middle-aged man seeking past"
42,uk,Виринаючи на повітря,Англійська,"Роман про чоловіка середнього віку, що шукає минуле"
43,en,Mansfield Park,English,"Novel about poor relation raised by rich relatives"
43,uk,Менсфілд-парк,Англійська,"Роман про бідну родичку, виховану багатими родичами"
44,en,A Moveable Feast,English,"Memoir about Paris in the 1920s"
44,uk,Рукийсний бенкет,Англійська,"Мемуари про Париж 1920-х років"
45,en,The ABC Murders,English,"Serial killer mystery with alphabetical pattern"
45,uk,Вбивства за алфавітом,Англійська,"Таємниця серійного вбивці з алфавітним порядком"
46,en,Second Foundation,English,"Third book in Foundation series"
46,uk,Друга фундація,Англійська,"Третій книга серії 'Фундація'"
47,en,This Side of Paradise,English,"Debut novel about Princeton student"
47,uk,Ця сторона раю,Англійська,"Дебютний роман про студента Принстона"
48,en,The Silmarillion,English,"Collection of mythopoeic works"
48,uk,Сильмариліон,Англійська,"Збірка міфопоетичних творів"
49,en,Oliver Twist,English,"Novel about orphan boy in London"
49,uk,Олівер Твіст,Англійська,"Роман про хлопчика-сироту в Лондоні"
50,en,A Connecticut Yankee in King Arthur's Court,English,"Time travel novel to Arthurian England"
50,uk,Янкі з Коннектикуту при дворі короля Артура,Англійська,"Роман про подорож у часі в епоху короля Артура"
51,en,Orlando,English,"Biographical novel spanning centuries"
51,uk,Орландо,Англійська,"Біографічний роман, що охоплює століття"
52,en,Chronicle of a Death Foretold,Spanish,"Novella about honor killing"
52,uk,Хроніка оголошеної смерті,Іспанська,"Повість про вбивство честі"
53,en,Resurrection,Russian,"Last major novel by Tolstoy"
53,uk,Воскресіння,Російська,"Останній великий роман Толстого"
54,en,Digital Fortress,English,"Techno-thriller about cryptography"
54,uk,Цифрова фортеця,Англійська,"Техно-трилер про криптографію"
55,en,A Study in Scarlet,English,"First Sherlock Holmes novel"
55,uk,Етюд у багряних тонах,Англійська,"Перший роман про Шерлока Холмса"
